java -cp .;rats.jar ListFiles C:\Users\deive\Documents\GitHub\Testes-Rats
Caminho;Tempo(Ms);Resultado
1.0666667; 
0.76666665; 
3.4333334; 
0.26666668; 
0.43333334; 
18.866667; 
448.66666; 
0.7; 
0.16666667; 
0.0; 
0.13333334; 
1.3; 
260.4; 
1.9333333; 
0.16666667; 
19.133333; 
0.16666667; 
0.06666667; 
0.93333334; 
0.23333333; 
1.7; 
0.5; 
1.0; 
0.53333336; 
1.5666667; 
2.3333333; 
0.76666665; 
0.6; 
0.16666667; 
0.2; 
1.1; 
2.0333333; 
0.3; 
3.2666667; 
0.8333333; 
1.1; 
0.6; 
16.433332; 
2.1333334; 
0.5; 
1.0333333; 
4.133333; 
3.5333333; 
3.3; 
2.9333334; 
3.4333334; 
3.1666667; 
0.8; 
0.96666664; 
0.8333333; 
2.9; 
2.9333334; 
3.2333333; 
3.1666667; 
3.6333334; 
0.2; 
0.06666667; 
0.033333335; 
0.13333334; 
0.13333334; 
2.1666667; 
2.3333333; 
0.96666664; 
1.0333333; 
8.333333; 
0.5; 
0.16666667; 
1.8; 
1.0333333; 
1.6333333; 
0.8; 
0.73333335; 
1.7; 
0.6; 
0.8666667; 
4.5666666; 
1.7333333; 
0.26666668; 
0.6666667; 
3.6; 
1.0; 
0.53333336; 
0.6333333; 
0.23333333; 
4.233333; 
1.5666667; 
Total; 880
